path,category,description,materials,gemstones,gender,detected_category
data/Jewellery_Data\necklace\necklace_176.jpg,necklace,a gold two layer necklace with a three flower shape hanging pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_177.jpg,necklace,a gold necklace with purple and golden ring making a triangle shape pendant.,Gold,,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_178.jpg,necklace,a gold necklace with three inter links circle pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_179.jpg,necklace,a gold with three interlink circles design necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_18.jpg,necklace,"a necklace with a long chain and a yellow, black and white stone.",,,,Necklace
data/Jewellery_Data\necklace\necklace_180.jpg,necklace,a gold necklace with circles on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_181.jpg,necklace,a necklace with a pearl and a flower design pendant.,,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_182.jpg,necklace,the gold necklace with small small circles.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_183.jpg,necklace,a gold necklace with two layer chain and a balls on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_184.jpg,necklace,a gold chain with a two interlink circle has a pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_185.jpg,necklace,the gold chain necklace with a four rectangle shape pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_186.jpg,necklace,a gold and diamond necklace,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_187.jpg,necklace,the gold chain necklace with Fringe.,Gold,,,"Ring,Necklace"
data/Jewellery_Data\necklace\necklace_188.jpg,necklace,the two layers gold chain necklace with small balls.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_189.jpg,necklace,the gold ball necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_19.jpg,necklace,a necklace with black and white stones,,,,Necklace
data/Jewellery_Data\necklace\necklace_190.jpg,necklace,the gold ball necklace,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_191.jpg,necklace,a gold ball necklace with a four layers.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_192.jpg,necklace,a gold necklace with a many  twirl chains.,Gold,,Men,Necklace
data/Jewellery_Data\necklace\necklace_193.jpg,necklace,the two layers gold necklace with a small balls.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_194.jpg,necklace,the gold chain three layer necklace with small balls on it ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_195.jpg,necklace,the gold chain four layer necklace with small beads on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_196.jpg,necklace,a gold ball chain necklace,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_197.jpg,necklace,a gold ball chain necklace,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_198.jpg,necklace,the gold chain necklace with a white stone,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_199.jpg,necklace,a gold and silver necklace with a sliver and golden balls on it.,"Gold,Silver",,,Necklace
data/Jewellery_Data\necklace\necklace_2.jpg,necklace,a necklace with purple and golden pearl pendant.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_20.jpg,necklace,a necklace with green and golden stones.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_200.jpg,necklace,a gold necklace with a circular design,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_201.jpg,necklace,a gold necklace with a diamond bar and a white diamond,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_202.jpg,necklace,a gold necklace with two birds on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_203.jpg,necklace,a gold necklace with a white pearl.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_204.jpg,necklace,a gold and pearl necklace,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_205.jpg,necklace,a gold necklace with a five pearl making a traingle shape pendant.,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_206.jpg,necklace,a single pearl necklace,,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_207.jpg,necklace,a gold necklace with a heart and the word love,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_208.jpg,necklace,a gold necklace with a bar shape  pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_209.jpg,necklace,a gold simple chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_21.jpg,necklace,a necklace with black and white beads,,,,Necklace
data/Jewellery_Data\necklace\necklace_210.jpg,necklace,a gold chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_212.jpg,necklace,a simple silver chain.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_213.jpg,necklace,a simple silver plain chain. ,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_214.jpg,necklace,a simple link solid silver chain.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_215.jpg,necklace,a simple loop like silver chain.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_216.jpg,necklace,a simple silver chain with a silver ball connecting each other.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_217.jpg,necklace,a silver chain,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_218.jpg,necklace,a silver and gold thick chain.,"Gold,Silver",,,Necklace
data/Jewellery_Data\necklace\necklace_219.jpg,necklace,a rose gold chain necklace.,"Gold,Rose Gold",,,Necklace
data/Jewellery_Data\necklace\necklace_22.jpg,necklace,a necklace with blue and a white beads.,,,,Necklace
data/Jewellery_Data\necklace\necklace_220.jpg,necklace,a gold three layer simple chain like necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_221.jpg,necklace,a gold chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_222.jpg,necklace,a gold chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_223.jpg,necklace,a gold thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_224.jpg,necklace,a gold thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_225.jpg,necklace,a gold plain thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_226.jpg,necklace,a gold plain chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_227.jpg,necklace,a gold chain with interlink design necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_228.jpg,necklace,a gold chain with a interlink design.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_229.jpg,necklace,a gold chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_23.jpg,necklace,a necklace with a long chain and a small beads of yellow and black colour.,,,,Necklace
data/Jewellery_Data\necklace\necklace_230.jpg,necklace,a gold thick chain  necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_231.jpg,necklace,a gold necklace with a twisted rope,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_232.jpg,necklace,a gold necklace with a twisted rope,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_233.jpg,necklace,a gold necklace with a white diamond beads.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_234.jpg,necklace,a gold necklace with a white diamond beads.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_235.jpg,necklace,a gold necklace with a white and grey beads.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_236.jpg,necklace,a gold necklace with a small stone and a hanging pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_237.jpg,necklace,a necklace with a gold chain and a white bea,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_238.jpg,necklace,a simple silver chain.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_239.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_24.jpg,necklace,a necklace with a gold and white beads,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_240.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_241.jpg,necklace,a gold chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_242.jpg,necklace,a gold necklace with simple chain ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_243.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_244.jpg,necklace,a gold and silver chain.,"Gold,Silver",,,Necklace
data/Jewellery_Data\necklace\necklace_245.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_246.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_247.jpg,necklace,a gold chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_248.jpg,necklace,a gold and silver chain necklace.,"Gold,Silver",,,Necklace
data/Jewellery_Data\necklace\necklace_249.jpg,necklace,a gold chain with interlink design.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_25.jpg,necklace,a necklace with green and gold stones.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_250.jpg,necklace,a gold necklace with a single chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_251.jpg,necklace,a gold necklace with a simple chain ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_252.jpg,necklace,a gold chain necklace with a small rectangle shape on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_253.jpg,necklace,a thick gold chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_254.jpg,necklace,a gold chain necklace with a beautiful chain pattern.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_255.jpg,necklace,a gold necklace with a long chain and circle and rectangle on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_256.jpg,necklace,a gold chain with a link of small rectangle.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_257.jpg,necklace,a gold chain with a circular design,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_258.jpg,necklace,a gold chain with a long link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_259.jpg,necklace,a gold chain with a single link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_26.jpg,necklace,"a necklace with blue, black  and white stones.",,,,Necklace
data/Jewellery_Data\necklace\necklace_260.jpg,necklace,a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_261.jpg,necklace,a gold chain with a single ball,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_262.jpg,necklace,a gold chain with a long link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_263.jpg,necklace,a gold chain with a long link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_264.jpg,necklace,a gold chain with a pairs of three balls on the chain ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_265.jpg,necklace,a gold chain with a balls on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_266.jpg,necklace,a gold chain with a small balls on the chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_267.jpg,necklace,a gold chain with a pair of two ball on the chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_268.jpg,necklace,a gold chain with a balls on it.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_269.jpg,necklace,a gold and diamond necklace,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_27.jpg,necklace,a necklace with greenandvgold stones.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_270.jpg,necklace,a gold chain with a single beads on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_271.jpg,necklace,a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_272.jpg,necklace,"a gold chain with a long, twisted design",Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_273.jpg,necklace,"a gold chain with a long, twisted design",Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_274.jpg,necklace,a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_275.jpg,necklace,a gold chain with a single chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_276.jpg,necklace,a gold chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_277.jpg,necklace,a gold chain with a twirl.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_278.jpg,necklace,a gold chain necklace.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_279.jpg,necklace,"a gold chain with a long, twisted design",Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_28.jpg,necklace,a necklace with red and white beads,,,,Necklace
data/Jewellery_Data\necklace\necklace_280.jpg,necklace,a pair of gold chains,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_281.jpg,necklace,a gold chain with a rope like design.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_282.jpg,necklace,a diamond and gold beads with black beads inside like gold necklace.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_283.jpg,necklace,a gold chain with a single link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_284.jpg,necklace,a gold chain with a long link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_285.jpg,necklace,a gold chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_286.jpg,necklace,a gold chain with a clasp,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_287.jpg,necklace,a gold chain with a clasp,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_288.jpg,necklace,a gold chain with a clasp,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_289.jpg,necklace,a gold chain with a clasp,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_29.jpg,necklace,a heart shaped pendant with a silver chain necklace.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_290.jpg,necklace,a gold chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_291.jpg,necklace,a gold chain with a clasp,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_292.jpg,necklace,a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_293.jpg,necklace,a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_294.jpg,necklace,a gold chain with a single balls on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_295.jpg,necklace,a gold chain with a balls on the chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_296.jpg,necklace,a gold chain with a single balls on it,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_297.jpg,necklace,a gold necklace with chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_298.jpg,necklace,a gold chain with a single chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_299.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_3.jpg,necklace,a gold necklace with green and golden beads.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_30.jpg,necklace,a gold necklace with a small yellow stone,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_300.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_301.jpg,necklace,a gold chain with a single link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_302.jpg,necklace,a gold chain with a single link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_303.jpg,necklace,a gold thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_304.jpg,necklace,a gold thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_305.jpg,necklace,a gold thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_306.jpg,necklace,a gold chain with a long link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_307.jpg,necklace,a gold necklace with a chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_308.jpg,necklace,a gold necklace thick like chain ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_309.jpg,necklace,gold plain chain necklace ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_31.jpg,necklace,a necklace with a green stone on it,,,,Necklace
data/Jewellery_Data\necklace\necklace_310.jpg,necklace,a gold chain like a single chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_311.jpg,necklace,a gold  thick chain ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_312.jpg,necklace,a gold chain like a twirl design ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_313.jpg,necklace,a gold thick chain.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_314.jpg,necklace,a gold thick chain. ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_315.jpg,necklace,a gold chain,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_316.jpg,necklace,a gold thin chain necklace ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_317.jpg,necklace,a gold thin chain necklace ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_318.jpg,necklace,a gold thin chain necklace ,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_319.jpg,necklace,a gold chain with a single link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_32.jpg,necklace,a silver necklace with a bar shape pendant on it.,Silver,,,Necklace
data/Jewellery_Data\necklace\necklace_320.jpg,necklace,a gold chain with a single link,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_33.jpg,necklace,a gold necklace with a three small bar pendant.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_34.jpg,necklace,a silver necklace with a small diamond pendant.,"Diamond,Silver",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_35.jpg,necklace,a gold necklace with a pearl and love written on it,Gold,Pearl,,Necklace
data/Jewellery_Data\necklace\necklace_36.jpg,necklace,a gold necklace with a small white diamond,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_37.jpg,necklace,a gold necklace with a diamond leaf shape pattern.,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_38.jpg,necklace,a gold necklace with diamond leaf shape pattern ,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_39.jpg,necklace,a gold necklace luke chain with a big leaf like pendant in the centre.,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_4.jpg,necklace,a gold necklace with black and white stones,Gold,,,Necklace
data/Jewellery_Data\necklace\necklace_40.jpg,necklace,a gold diamond necklace ,"Gold,Diamond",Diamond,,Necklace
data/Jewellery_Data\necklace\necklace_41.jpg,necklace,a gold with black stone necklace ,Gold,,,Necklace
